config,phase_synchronization,phase_convergence_time,phase_stability,gait_regularity,stride_consistency,body_roll_std,body_pitch_std,body_oscillation,disturbance_recovery_time,disturbance_deviation,frequency_variation,coupling_efficiency
Full Model,0.15478135750848093,0.0,0.6732741313551538,0.6733417418802766,0.9975617837793609,0.01370972006833363,0.01322635790732445,0.019107705384032288,4.7700000000000005,0.8818958575098929,0.0024441756512408206,0.6445875261745814
w/o Symmetric PRC,0.31900384814984817,0.0,0.6740102186227859,0.6735044223213931,0.9975596845806738,0.016548721564103645,0.022976149777207668,0.028613928552272645,10.0,0.9008263793595279,0.0024462851298088055,0.6327966213054949
w/o GRF Weighting,0.23354735650453468,0.0,0.6732741817692005,0.6733365050507406,0.9975605412476616,0.012826582932393813,0.012198538989565594,0.01774993607345083,8.1132,0.9804587661740284,0.0024454242730276056,0.6450080898157143
w/o Adaptive Coupling,0.18128196526561663,0.0,0.6732741510623564,0.6733334633500233,0.9975612620680174,0.014937277612269043,0.014781633585521828,0.021204610415881633,8.325199999999999,1.1293039433916663,0.0024446999202141113,0.6451612903225807
w/o Frequency Adapt,0.1303193913427394,0.0,0.673272315118018,0.6728357369488716,1.0,0.013786691168119819,0.014105561655104218,0.019763559915489594,4.660400000000001,0.8240630505263222,0.0,0.6445480616324384
w/o Shock Suppress,0.18288874422678036,0.0,0.6732722832938187,0.6729937027324142,1.0,0.013460421727356139,0.01432003395144672,0.019683282791628225,6.356,0.8146350120705911,0.0,0.644843718266296
Minimal Model,0.37700859286464905,0.0,0.6732723313400844,0.6728950418251485,1.0,0.01955441940725213,0.03195544810081607,0.03756431555187665,10.0,1.3220888776767818,0.0,0.6451612903225807
